word,type,base,meaning,declension,conjugation,gender,pos,number,notes
capitulum,noun,capitul,chapter,2,,n,,,,
exemplum,noun,exempl,example/model,2,,n,,,,
fluvius,noun,fluvi,river,2,,m,,,,
grammatica,noun,grammatic,grammar,1,,f,,,,
imperium,noun,imperi,command/empire,2,,n,,,,
īnsula,noun,īnsul,island,1,,f,,,,
littera,noun,litter,letter,1,,f,,,,
numerus,noun,numer,number,2,,m,,,,
ōceanus,noun,ōcean,ocean,2,,m,,,,
oppidum,noun,oppid,town,2,,n,,,,
pēnsum,noun,pēns,task,2,,n,,,,
syllaba,noun,syllab,syllable,1,,f,,,,
vocābulum,noun,vocābul,word,2,,n,,,,
est,verb,,he/she/it is,,,,,,,,,
sunt,verb,,they are,,,,,,,,,
Graecus,adj,,Greek,,,,,,,
Latīnus,adj,,Latin,,,,,,,
magnus,adj,,big/large,,,,,,,	
multī,adj,,many,,,,,,,
parvus,adj,,small,,,,,,,
paucī,adj,,few,,,,,,,
plūralis,adj,,plural,,,,,,,
prīmus,adj,,first,,,,,,,
Rōmānus,adj,,Roman/of Rome,,,,,,,
secundus,adj,,second/favorable,,,,,,,
singulāris,adj,,singular,,,,,,,
tertius,adj,,third,,,,,,,
ūnus,adj,,one,,,,,1,,
duo,adj,,two,,,,,2,,
trēs,adj,,three,,,,,3,,
sex,adj,,six,,,,,6,,
mille,adj,,thousand,,,,,1000,,
nōn,adv,,not,,,,,,,,,
in,prep,,in/on/into,,,,,,,,,
et,conj,,and,,,,,,,,,
sed,conj,,but,,,,,,,,,
quoque,conj,,also/too,,,,,,,,,
-ne,part,,question marker,,,,,,,,,
num,part,,question marker,,,,,,,,,
quid,pron,,what,,,,,,,,,
ubi,pron,,where,,,,,,,,,
